scenfile,max_agent_one_solvable,max_agent_all_solvable
lak303d-even-25.scen,1000,70
warehouse-20-40-10-2-2-even-3.scen,1000,390
random-64-64-20-even-17.scen,1000,120
Berlin_1_256-random-15.scen,1000,300
maze-128-128-10-random-14.scen,1000,40
lt_gallowstemplar_n-even-16.scen,1000,80
empty-16-16-random-9.scen,120,50
ost003d-random-24.scen,1000,100
ht_chantry-even-4.scen,1000,70
warehouse-10-20-10-2-2-random-25.scen,1000,240
Paris_1_256-random-1.scen,1000,240
warehouse-10-20-10-2-1-random-1.scen,1000,130
warehouse-20-40-10-2-2-random-9.scen,1000,390
room-64-64-8-even-1.scen,600,40
empty-32-32-even-10.scen,510,130
Paris_1_256-random-4.scen,1000,240
warehouse-10-20-10-2-2-random-18.scen,1000,240
empty-48-48-even-14.scen,1000,180
lak303d-even-22.scen,1000,70
warehouse-20-40-10-2-1-even-7.scen,1000,310
den520d-even-19.scen,1000,200
lt_gallowstemplar_n-random-20.scen,1000,80
maze-128-128-1-even-1.scen,160,20
random-32-32-10-even-12.scen,460,110
Berlin_1_256-even-21.scen,1000,300
warehouse-10-20-10-2-1-random-16.scen,1000,130
empty-8-8-even-14.scen,30,30
Berlin_1_256-random-8.scen,1000,300
room-32-32-4-even-4.scen,330,30
warehouse-20-40-10-2-2-even-1.scen,1000,390
room-32-32-4-even-25.scen,330,30
ht_mansion_n-even-14.scen,1000,110
den312d-random-10.scen,850,50
warehouse-10-20-10-2-2-random-12.scen,1000,240
ost003d-even-7.scen,1000,100
room-32-32-4-even-9.scen,330,30
Paris_1_256-even-6.scen,1000,240
maze-128-128-10-even-24.scen,1000,40
empty-48-48-random-4.scen,1000,180
warehouse-20-40-10-2-2-even-4.scen,1000,390
ht_chantry-even-11.scen,1000,70
Berlin_1_256-random-10.scen,1000,300
random-64-64-10-even-3.scen,1000,180
den520d-even-13.scen,1000,200
room-32-32-4-even-5.scen,330,30
empty-48-48-even-2.scen,1000,180
warehouse-20-40-10-2-2-random-8.scen,1000,390
empty-32-32-even-24.scen,510,130
lak303d-random-4.scen,1000,70
empty-48-48-even-16.scen,1000,180
Paris_1_256-random-11.scen,1000,240
warehouse-20-40-10-2-1-random-25.scen,1000,310
warehouse-10-20-10-2-2-even-2.scen,1000,240
empty-16-16-random-8.scen,120,50
maze-32-32-4-random-8.scen,290,30
random-64-64-20-random-17.scen,1000,120
Berlin_1_256-random-25.scen,1000,300
random-32-32-20-even-8.scen,400,60
den520d-even-16.scen,1000,200
warehouse-10-20-10-2-2-even-25.scen,1000,240
empty-8-8-random-22.scen,30,30
warehouse-10-20-10-2-1-random-10.scen,1000,130
maze-128-128-1-even-16.scen,160,20
den312d-random-23.scen,850,50
ost003d-even-20.scen,1000,100
random-32-32-20-random-3.scen,400,60
random-64-64-10-even-2.scen,1000,180
warehouse-20-40-10-2-1-random-2.scen,1000,310
room-64-64-16-even-7.scen,730,60
room-64-64-16-random-19.scen,730,60
random-64-64-20-even-24.scen,1000,120
random-32-32-10-even-6.scen,460,110
Paris_1_256-random-18.scen,1000,240
ht_mansion_n-even-2.scen,1000,110
den520d-random-4.scen,1000,200
room-64-64-16-even-23.scen,730,60
lt_gallowstemplar_n-random-3.scen,1000,80
empty-16-16-random-4.scen,120,50
warehouse-10-20-10-2-2-even-13.scen,1000,240
room-32-32-4-random-18.scen,330,30
empty-8-8-even-25.scen,30,30
ht_chantry-even-19.scen,1000,70
empty-8-8-even-24.scen,30,30
maze-128-128-2-even-15.scen,270,20
Paris_1_256-random-17.scen,1000,240
Boston_0_256-even-1.scen,1000,140
room-32-32-4-random-14.scen,330,30
lt_gallowstemplar_n-random-4.scen,1000,80
random-64-64-20-random-21.scen,1000,120
ht_mansion_n-even-11.scen,1000,110
random-64-64-20-random-11.scen,1000,120
maze-32-32-2-even-11.scen,160,30
maze-32-32-4-even-13.scen,290,30
random-64-64-20-random-2.scen,1000,120
ht_mansion_n-even-16.scen,1000,110
empty-48-48-even-23.scen,1000,180
room-32-32-4-random-5.scen,330,30
Berlin_1_256-random-24.scen,1000,300
maze-128-128-10-even-19.scen,1000,40
den520d-random-9.scen,1000,200
Paris_1_256-even-11.scen,1000,240
ht_mansion_n-even-15.scen,1000,110
Paris_1_256-even-16.scen,1000,240
den520d-even-1.scen,1000,200
ost003d-even-9.scen,1000,100
random-32-32-10-random-3.scen,460,110
Berlin_1_256-even-20.scen,1000,300
Berlin_1_256-random-14.scen,1000,300
lak303d-even-23.scen,1000,70
Boston_0_256-random-24.scen,1000,140
den312d-even-19.scen,850,50
lak303d-random-23.scen,1000,70
lak303d-even-5.scen,1000,70
random-64-64-20-even-2.scen,1000,120
room-64-64-8-even-11.scen,600,40
empty-16-16-random-21.scen,120,50
ht_mansion_n-even-7.scen,1000,110
warehouse-20-40-10-2-2-even-12.scen,1000,390
maze-32-32-4-random-9.scen,290,30
lak303d-even-16.scen,1000,70
empty-48-48-even-6.scen,1000,180
lak303d-even-17.scen,1000,70
empty-48-48-random-7.scen,1000,180
den520d-even-25.scen,1000,200
maze-128-128-10-random-6.scen,1000,40
random-32-32-10-random-13.scen,460,110
random-32-32-20-random-4.scen,400,60
empty-48-48-random-23.scen,1000,180
empty-32-32-even-1.scen,510,130
ht_mansion_n-even-19.scen,1000,110
room-64-64-16-random-7.scen,730,60
warehouse-20-40-10-2-1-even-4.scen,1000,310
random-64-64-20-random-3.scen,1000,120
den520d-random-1.scen,1000,200
maze-32-32-2-even-1.scen,160,30
warehouse-20-40-10-2-2-random-16.scen,1000,390
Boston_0_256-even-12.scen,1000,140
Paris_1_256-random-19.scen,1000,240
random-32-32-10-even-19.scen,460,110
empty-16-16-even-22.scen,120,50
empty-32-32-random-12.scen,510,130
maze-32-32-4-random-16.scen,290,30
random-32-32-10-random-16.scen,460,110
den312d-random-17.scen,850,50
warehouse-10-20-10-2-2-random-20.scen,1000,240
random-64-64-20-random-8.scen,1000,120
maze-128-128-10-even-5.scen,1000,40
warehouse-10-20-10-2-2-even-4.scen,1000,240
den312d-random-9.scen,850,50
ost003d-even-5.scen,1000,100
random-64-64-20-random-6.scen,1000,120
den520d-random-22.scen,1000,200
ht_mansion_n-even-17.scen,1000,110
warehouse-20-40-10-2-1-even-5.scen,1000,310
den312d-even-16.scen,850,50
random-32-32-10-even-22.scen,460,110
Boston_0_256-even-8.scen,1000,140
maze-128-128-10-random-12.scen,1000,40
ht_chantry-even-13.scen,1000,70
den520d-random-8.scen,1000,200
ht_chantry-random-19.scen,1000,70
lak303d-even-10.scen,1000,70
empty-48-48-random-3.scen,1000,180
maze-32-32-2-even-18.scen,160,30
random-64-64-10-random-11.scen,1000,180
Boston_0_256-random-9.scen,1000,140
den520d-even-22.scen,1000,200
empty-16-16-random-7.scen,120,50
lt_gallowstemplar_n-even-10.scen,1000,80
lt_gallowstemplar_n-random-15.scen,1000,80
maze-32-32-2-random-25.scen,160,30
random-64-64-20-random-25.scen,1000,120
room-64-64-16-even-24.scen,730,60
maze-32-32-4-even-5.scen,290,30
room-64-64-16-even-25.scen,730,60
warehouse-10-20-10-2-2-random-15.scen,1000,240
room-64-64-16-random-18.scen,730,60
room-64-64-16-even-20.scen,730,60
ht_chantry-random-17.scen,1000,70
maze-128-128-2-random-20.scen,270,20
den312d-even-18.scen,850,50
maze-128-128-10-even-6.scen,1000,40
ost003d-random-2.scen,1000,100
lak303d-random-14.scen,1000,70
maze-32-32-4-even-6.scen,290,30
den312d-random-4.scen,850,50
maze-128-128-2-random-2.scen,270,20
warehouse-20-40-10-2-1-random-14.scen,1000,310
empty-48-48-even-21.scen,1000,180
room-64-64-8-even-9.scen,600,40
room-32-32-4-random-1.scen,330,30
ht_mansion_n-random-8.scen,1000,110
empty-32-32-random-5.scen,510,130
empty-48-48-even-7.scen,1000,180
lt_gallowstemplar_n-even-8.scen,1000,80
random-32-32-10-random-14.scen,460,110
random-64-64-20-even-9.scen,1000,120
maze-32-32-4-even-25.scen,290,30
random-32-32-20-even-11.scen,400,60
random-32-32-20-even-23.scen,400,60
random-32-32-10-even-24.scen,460,110
ost003d-random-10.scen,1000,100
maze-32-32-2-even-2.scen,160,30
ht_mansion_n-random-10.scen,1000,110
room-32-32-4-even-14.scen,330,30
lt_gallowstemplar_n-even-15.scen,1000,80
random-64-64-20-random-22.scen,1000,120
lt_gallowstemplar_n-even-18.scen,1000,80
ost003d-even-17.scen,1000,100
maze-32-32-2-even-23.scen,160,30
random-64-64-10-random-21.scen,1000,180
warehouse-10-20-10-2-2-random-23.scen,1000,240
warehouse-10-20-10-2-1-even-15.scen,1000,130
lt_gallowstemplar_n-even-14.scen,1000,80
den312d-even-2.scen,850,50
Boston_0_256-even-10.scen,1000,140
empty-32-32-random-13.scen,510,130
empty-16-16-even-14.scen,120,50
ht_chantry-even-20.scen,1000,70
lak303d-random-21.scen,1000,70
ht_chantry-even-5.scen,1000,70
lak303d-even-12.scen,1000,70
room-64-64-16-random-11.scen,730,60
empty-16-16-random-25.scen,120,50
warehouse-20-40-10-2-2-random-4.scen,1000,390
warehouse-10-20-10-2-2-even-23.scen,1000,240
Boston_0_256-even-3.scen,1000,140
Paris_1_256-even-7.scen,1000,240
empty-32-32-random-25.scen,510,130
maze-128-128-2-random-18.scen,270,20
random-64-64-10-even-24.scen,1000,180
maze-128-128-2-random-16.scen,270,20
maze-32-32-4-random-1.scen,290,30
den520d-random-16.scen,1000,200
warehouse-20-40-10-2-1-random-7.scen,1000,310
maze-32-32-2-random-14.scen,160,30
maze-128-128-10-even-22.scen,1000,40
room-32-32-4-random-20.scen,330,30
warehouse-10-20-10-2-1-random-5.scen,1000,130
random-64-64-10-even-20.scen,1000,180
ht_chantry-even-23.scen,1000,70
room-64-64-8-random-13.scen,600,40
maze-32-32-2-even-13.scen,160,30
room-64-64-8-even-14.scen,600,40
maze-32-32-2-random-2.scen,160,30
warehouse-20-40-10-2-2-even-7.scen,1000,390
Paris_1_256-even-23.scen,1000,240
room-64-64-16-random-21.scen,730,60
random-32-32-20-random-21.scen,400,60
empty-8-8-even-17.scen,30,30
ost003d-even-22.scen,1000,100
maze-128-128-10-even-18.scen,1000,40
random-32-32-10-even-1.scen,460,110
warehouse-20-40-10-2-2-random-11.scen,1000,390
maze-128-128-1-even-9.scen,160,20
Berlin_1_256-random-11.scen,1000,300
lak303d-even-15.scen,1000,70
Paris_1_256-random-3.scen,1000,240
maze-128-128-2-random-22.scen,270,20
room-32-32-4-random-22.scen,330,30
random-32-32-20-random-6.scen,400,60
random-64-64-10-random-5.scen,1000,180
lt_gallowstemplar_n-even-20.scen,1000,80
room-64-64-8-even-6.scen,600,40
maze-32-32-4-random-2.scen,290,30
maze-32-32-2-random-1.scen,160,30
random-32-32-20-even-10.scen,400,60
random-32-32-10-random-4.scen,460,110
random-32-32-20-even-2.scen,400,60
ost003d-even-13.scen,1000,100
room-32-32-4-random-7.scen,330,30
warehouse-20-40-10-2-1-even-8.scen,1000,310
warehouse-20-40-10-2-2-random-23.scen,1000,390
ht_chantry-random-5.scen,1000,70
ht_chantry-even-24.scen,1000,70
random-64-64-10-random-4.scen,1000,180
random-64-64-20-random-4.scen,1000,120
maze-32-32-4-random-25.scen,290,30
warehouse-10-20-10-2-1-even-17.scen,1000,130
lak303d-even-3.scen,1000,70
warehouse-10-20-10-2-2-random-1.scen,1000,240
empty-32-32-random-15.scen,510,130
maze-128-128-1-random-8.scen,160,20
empty-16-16-even-6.scen,120,50
lak303d-even-21.scen,1000,70
random-32-32-20-even-19.scen,400,60
empty-8-8-random-18.scen,30,30
random-32-32-10-even-11.scen,460,110
Paris_1_256-even-21.scen,1000,240
ht_chantry-random-20.scen,1000,70
ht_mansion_n-random-9.scen,1000,110
Berlin_1_256-random-17.scen,1000,300
ht_chantry-even-14.scen,1000,70
room-64-64-8-even-3.scen,600,40
Boston_0_256-even-18.scen,1000,140
maze-128-128-10-even-25.scen,1000,40
warehouse-10-20-10-2-1-random-19.scen,1000,130
empty-8-8-even-11.scen,30,30
warehouse-10-20-10-2-2-random-11.scen,1000,240
random-64-64-10-random-12.scen,1000,180
random-64-64-20-even-20.scen,1000,120
empty-32-32-even-5.scen,510,130
warehouse-10-20-10-2-1-even-7.scen,1000,130
maze-128-128-2-random-17.scen,270,20
random-64-64-10-random-2.scen,1000,180
room-32-32-4-random-15.scen,330,30
random-64-64-10-random-6.scen,1000,180
random-64-64-20-random-15.scen,1000,120
ost003d-random-17.scen,1000,100
warehouse-20-40-10-2-1-random-15.scen,1000,310
ht_mansion_n-random-14.scen,1000,110
warehouse-10-20-10-2-2-even-24.scen,1000,240
empty-8-8-even-16.scen,30,30
maze-128-128-2-random-5.scen,270,20
random-32-32-10-even-25.scen,460,110
den312d-even-10.scen,850,50
empty-16-16-even-2.scen,120,50
Berlin_1_256-even-8.scen,1000,300
warehouse-10-20-10-2-2-even-12.scen,1000,240
random-64-64-10-even-10.scen,1000,180
warehouse-20-40-10-2-1-even-21.scen,1000,310
ost003d-even-25.scen,1000,100
Berlin_1_256-random-3.scen,1000,300
empty-32-32-even-13.scen,510,130
ht_chantry-even-1.scen,1000,70
warehouse-10-20-10-2-2-even-16.scen,1000,240
empty-8-8-random-1.scen,30,30
empty-32-32-random-8.scen,510,130
den520d-random-15.scen,1000,200
room-32-32-4-random-2.scen,330,30
empty-8-8-random-4.scen,30,30
random-32-32-10-random-25.scen,460,110
empty-48-48-even-19.scen,1000,180
Paris_1_256-random-21.scen,1000,240
empty-8-8-even-19.scen,30,30
maze-32-32-2-random-22.scen,160,30
random-64-64-20-even-14.scen,1000,120
ht_chantry-random-2.scen,1000,70
ht_chantry-random-22.scen,1000,70
maze-32-32-4-even-21.scen,290,30
warehouse-20-40-10-2-1-random-17.scen,1000,310
maze-128-128-10-even-4.scen,1000,40
ht_chantry-random-9.scen,1000,70
empty-48-48-even-20.scen,1000,180
empty-32-32-even-16.scen,510,130
empty-16-16-even-7.scen,120,50
maze-32-32-4-even-16.scen,290,30
maze-128-128-10-random-15.scen,1000,40
den520d-random-5.scen,1000,200
Berlin_1_256-random-19.scen,1000,300
lt_gallowstemplar_n-even-3.scen,1000,80
maze-128-128-10-random-8.scen,1000,40
warehouse-10-20-10-2-1-random-2.scen,1000,130
room-64-64-8-random-3.scen,600,40
lak303d-random-8.scen,1000,70
lak303d-random-12.scen,1000,70
room-64-64-16-random-13.scen,730,60
ht_chantry-random-13.scen,1000,70
empty-16-16-even-10.scen,120,50
Paris_1_256-random-23.scen,1000,240
random-64-64-10-random-19.scen,1000,180
random-64-64-10-random-15.scen,1000,180
maze-128-128-10-even-10.scen,1000,40
random-32-32-10-even-15.scen,460,110
maze-32-32-2-random-6.scen,160,30
empty-16-16-random-14.scen,120,50
maze-32-32-2-random-20.scen,160,30
maze-32-32-4-even-19.scen,290,30
random-64-64-20-even-5.scen,1000,120
den312d-random-7.scen,850,50
random-32-32-10-even-14.scen,460,110
lak303d-random-22.scen,1000,70
room-64-64-8-random-2.scen,600,40
empty-8-8-random-21.scen,30,30
Boston_0_256-even-16.scen,1000,140
random-32-32-10-random-7.scen,460,110
Boston_0_256-random-8.scen,1000,140
room-64-64-16-random-6.scen,730,60
lak303d-random-17.scen,1000,70
empty-8-8-even-7.scen,30,30
ost003d-even-11.scen,1000,100
den312d-even-6.scen,850,50
empty-48-48-even-1.scen,1000,180
Berlin_1_256-even-19.scen,1000,300
warehouse-20-40-10-2-1-random-19.scen,1000,310
den520d-random-17.scen,1000,200
random-32-32-20-random-25.scen,400,60
Berlin_1_256-even-12.scen,1000,300
empty-48-48-even-22.scen,1000,180
maze-128-128-2-even-2.scen,270,20
Paris_1_256-even-5.scen,1000,240
maze-32-32-2-random-24.scen,160,30
ost003d-even-15.scen,1000,100
maze-32-32-2-even-6.scen,160,30
warehouse-10-20-10-2-1-even-18.scen,1000,130
Boston_0_256-even-15.scen,1000,140
empty-16-16-even-24.scen,120,50
den312d-random-8.scen,850,50
empty-16-16-random-17.scen,120,50
ht_chantry-even-16.scen,1000,70
room-64-64-16-random-5.scen,730,60
warehouse-10-20-10-2-1-random-4.scen,1000,130
room-32-32-4-random-23.scen,330,30
den312d-even-14.scen,850,50
ost003d-random-20.scen,1000,100
Berlin_1_256-even-1.scen,1000,300
warehouse-10-20-10-2-1-even-5.scen,1000,130
maze-128-128-2-even-24.scen,270,20
Boston_0_256-even-11.scen,1000,140
den312d-random-20.scen,850,50
den520d-even-10.scen,1000,200
lak303d-random-5.scen,1000,70
maze-128-128-10-even-9.scen,1000,40
Paris_1_256-random-16.scen,1000,240
warehouse-10-20-10-2-2-even-8.scen,1000,240
room-64-64-8-random-24.scen,600,40
ost003d-random-22.scen,1000,100
random-64-64-20-even-7.scen,1000,120
room-32-32-4-even-1.scen,330,30
ht_mansion_n-random-23.scen,1000,110
empty-48-48-even-11.scen,1000,180
warehouse-20-40-10-2-2-random-5.scen,1000,390
empty-16-16-random-18.scen,120,50
random-64-64-10-even-5.scen,1000,180
warehouse-20-40-10-2-1-random-16.scen,1000,310
maze-128-128-10-even-3.scen,1000,40
warehouse-10-20-10-2-1-even-3.scen,1000,130
maze-128-128-2-even-8.scen,270,20
random-64-64-20-even-1.scen,1000,120
maze-32-32-2-even-22.scen,160,30
maze-128-128-10-random-4.scen,1000,40
lak303d-random-6.scen,1000,70
lak303d-random-18.scen,1000,70
Boston_0_256-random-10.scen,1000,140
lak303d-random-13.scen,1000,70
warehouse-20-40-10-2-1-even-1.scen,1000,310
den312d-even-24.scen,850,50
warehouse-10-20-10-2-1-even-13.scen,1000,130
Paris_1_256-random-9.scen,1000,240
ht_mansion_n-random-12.scen,1000,110
random-64-64-10-random-23.scen,1000,180
empty-48-48-random-8.scen,1000,180
ost003d-random-7.scen,1000,100
empty-32-32-even-25.scen,510,130
ht_mansion_n-random-7.scen,1000,110
empty-16-16-even-20.scen,120,50
Paris_1_256-even-2.scen,1000,240
random-32-32-10-even-4.scen,460,110
warehouse-20-40-10-2-2-even-22.scen,1000,390
ht_mansion_n-even-9.scen,1000,110
ht_mansion_n-even-3.scen,1000,110
den520d-random-24.scen,1000,200
den520d-random-11.scen,1000,200
den520d-even-18.scen,1000,200
Berlin_1_256-even-15.scen,1000,300
empty-32-32-random-6.scen,510,130
den312d-random-19.scen,850,50
Boston_0_256-even-5.scen,1000,140
Berlin_1_256-random-22.scen,1000,300
maze-128-128-2-even-10.scen,270,20
den312d-random-2.scen,850,50
empty-48-48-even-17.scen,1000,180
ht_chantry-even-7.scen,1000,70
room-64-64-8-random-4.scen,600,40
maze-32-32-2-random-21.scen,160,30
Boston_0_256-even-9.scen,1000,140
random-32-32-10-even-5.scen,460,110
ost003d-even-3.scen,1000,100
maze-128-128-1-random-18.scen,160,20
empty-48-48-random-18.scen,1000,180
ost003d-even-18.scen,1000,100
warehouse-20-40-10-2-2-random-7.scen,1000,390
Boston_0_256-even-14.scen,1000,140
random-32-32-10-even-13.scen,460,110
warehouse-20-40-10-2-2-random-19.scen,1000,390
warehouse-10-20-10-2-1-even-21.scen,1000,130
lt_gallowstemplar_n-even-25.scen,1000,80
ost003d-random-5.scen,1000,100
room-32-32-4-random-13.scen,330,30
maze-128-128-1-random-15.scen,160,20
random-64-64-10-even-14.scen,1000,180
maze-32-32-4-even-8.scen,290,30
room-32-32-4-even-13.scen,330,30
room-64-64-8-even-16.scen,600,40
empty-16-16-random-6.scen,120,50
room-64-64-16-even-16.scen,730,60
maze-128-128-2-even-4.scen,270,20
warehouse-10-20-10-2-2-even-21.scen,1000,240
empty-8-8-even-10.scen,30,30
warehouse-10-20-10-2-2-even-22.scen,1000,240
den312d-even-23.scen,850,50
empty-8-8-even-6.scen,30,30
warehouse-10-20-10-2-1-random-7.scen,1000,130
maze-32-32-4-random-11.scen,290,30
Berlin_1_256-even-11.scen,1000,300
random-32-32-20-even-7.scen,400,60
maze-128-128-2-even-11.scen,270,20
ht_chantry-random-1.scen,1000,70
random-64-64-20-even-6.scen,1000,120
warehouse-20-40-10-2-1-even-14.scen,1000,310
maze-32-32-4-even-7.scen,290,30
random-32-32-10-even-10.scen,460,110
random-64-64-20-random-12.scen,1000,120
Berlin_1_256-even-22.scen,1000,300
warehouse-20-40-10-2-2-even-6.scen,1000,390
warehouse-10-20-10-2-1-even-1.scen,1000,130
warehouse-10-20-10-2-1-random-13.scen,1000,130
empty-8-8-even-18.scen,30,30
room-32-32-4-even-17.scen,330,30
random-64-64-20-even-13.scen,1000,120
ht_chantry-random-8.scen,1000,70
maze-128-128-2-random-4.scen,270,20
warehouse-10-20-10-2-1-random-22.scen,1000,130
Boston_0_256-even-21.scen,1000,140
Berlin_1_256-even-10.scen,1000,300
room-64-64-16-random-1.scen,730,60
den520d-random-7.scen,1000,200
random-64-64-10-even-16.scen,1000,180
room-64-64-8-random-20.scen,600,40
Berlin_1_256-even-7.scen,1000,300
Berlin_1_256-even-25.scen,1000,300
ost003d-random-13.scen,1000,100
random-64-64-10-even-25.scen,1000,180
maze-32-32-2-even-12.scen,160,30
warehouse-20-40-10-2-2-random-3.scen,1000,390
room-32-32-4-even-22.scen,330,30
Paris_1_256-random-22.scen,1000,240
Paris_1_256-random-15.scen,1000,240
warehouse-10-20-10-2-2-random-5.scen,1000,240
empty-48-48-even-4.scen,1000,180
Paris_1_256-random-14.scen,1000,240
Berlin_1_256-even-5.scen,1000,300
ht_mansion_n-even-1.scen,1000,110
maze-32-32-4-even-17.scen,290,30
den312d-random-1.scen,850,50
random-64-64-20-even-22.scen,1000,120
ost003d-random-18.scen,1000,100
maze-32-32-2-even-9.scen,160,30
lt_gallowstemplar_n-random-7.scen,1000,80
ht_mansion_n-random-13.scen,1000,110
Paris_1_256-even-3.scen,1000,240
den520d-even-21.scen,1000,200
empty-48-48-random-22.scen,1000,180
empty-32-32-even-2.scen,510,130
maze-128-128-1-even-17.scen,160,20
warehouse-20-40-10-2-2-random-20.scen,1000,390
maze-32-32-2-even-17.scen,160,30
random-64-64-20-random-19.scen,1000,120
warehouse-20-40-10-2-2-random-1.scen,1000,390
random-64-64-10-random-3.scen,1000,180
empty-8-8-random-2.scen,30,30
maze-32-32-4-even-11.scen,290,30
maze-128-128-1-even-24.scen,160,20
warehouse-20-40-10-2-1-random-12.scen,1000,310
maze-128-128-10-even-14.scen,1000,40
empty-32-32-even-21.scen,510,130
empty-48-48-even-18.scen,1000,180
maze-128-128-1-even-6.scen,160,20
maze-128-128-10-even-17.scen,1000,40
warehouse-10-20-10-2-1-even-22.scen,1000,130
maze-32-32-4-even-10.scen,290,30
maze-128-128-10-random-2.scen,1000,40
empty-32-32-random-14.scen,510,130
warehouse-10-20-10-2-1-even-4.scen,1000,130
room-64-64-8-even-19.scen,600,40
empty-16-16-even-13.scen,120,50
maze-32-32-2-random-11.scen,160,30
random-64-64-20-even-18.scen,1000,120
Paris_1_256-even-12.scen,1000,240
room-64-64-16-even-12.scen,730,60
lt_gallowstemplar_n-even-1.scen,1000,80
ost003d-even-6.scen,1000,100
den520d-random-12.scen,1000,200
Berlin_1_256-random-5.scen,1000,300
lt_gallowstemplar_n-even-24.scen,1000,80
warehouse-10-20-10-2-1-even-9.scen,1000,130
random-64-64-10-random-25.scen,1000,180
lt_gallowstemplar_n-random-8.scen,1000,80
Boston_0_256-random-18.scen,1000,140
room-64-64-16-even-9.scen,730,60
ht_chantry-random-11.scen,1000,70
empty-32-32-even-22.scen,510,130
den520d-random-6.scen,1000,200
den312d-even-15.scen,850,50
lt_gallowstemplar_n-random-10.scen,1000,80
maze-128-128-10-even-20.scen,1000,40
den312d-even-1.scen,850,50
room-64-64-8-random-5.scen,600,40
random-64-64-20-even-3.scen,1000,120
warehouse-10-20-10-2-1-even-11.scen,1000,130
random-32-32-10-random-20.scen,460,110
lt_gallowstemplar_n-random-25.scen,1000,80
den312d-random-21.scen,850,50
maze-32-32-2-even-3.scen,160,30
random-64-64-10-even-12.scen,1000,180
random-64-64-20-even-10.scen,1000,120
den520d-even-15.scen,1000,200
room-64-64-8-even-17.scen,600,40
