scenfile,max_agent_one_solvable
empty-16-16-even-12.scen,120
ht_chantry-even-1.scen,460
lak303d-random-23.scen,1000
room-64-64-16-random-3.scen,650
maze-32-32-2-random-19.scen,160
empty-32-32-random-12.scen,510
maze-128-128-1-random-12.scen,110
random-32-32-20-random-15.scen,390
empty-48-48-even-6.scen,1000
maze-32-32-4-random-25.scen,190
random-32-32-10-random-8.scen,460
lak303d-random-1.scen,910
den520d-random-22.scen,1000
maze-32-32-4-even-17.scen,210
random-32-32-10-random-7.scen,460
room-32-32-4-even-9.scen,130
ht_chantry-even-21.scen,440
empty-8-8-random-25.scen,30
empty-16-16-random-3.scen,120
Boston_0_256-even-21.scen,820
random-32-32-20-random-6.scen,400
lt_gallowstemplar_n-random-11.scen,990
empty-48-48-random-12.scen,1000
room-64-64-8-random-3.scen,530
maze-32-32-4-random-20.scen,240
room-32-32-4-random-5.scen,330
maze-32-32-2-even-22.scen,160
warehouse-10-20-10-2-1-even-20.scen,420
Boston_0_256-random-25.scen,990
ost003d-random-15.scen,990
maze-128-128-10-random-7.scen,1000
Boston_0_256-even-2.scen,950
maze-128-128-10-even-17.scen,1000
Boston_0_256-even-18.scen,950
lt_gallowstemplar_n-even-15.scen,610
Boston_0_256-even-8.scen,980
random-32-32-10-random-2.scen,460
empty-32-32-random-21.scen,510
warehouse-10-20-10-2-2-random-20.scen,1000
empty-16-16-even-20.scen,120
lt_gallowstemplar_n-random-23.scen,990
empty-32-32-even-23.scen,510
room-64-64-16-even-21.scen,390
ost003d-random-2.scen,1000
warehouse-20-40-10-2-2-random-16.scen,1000
Paris_1_256-random-9.scen,1000
maze-32-32-2-even-18.scen,160
maze-128-128-1-random-10.scen,60
maze-128-128-2-even-25.scen,240
maze-128-128-2-random-23.scen,250
Boston_0_256-random-8.scen,1000
empty-48-48-random-13.scen,1000
ost003d-random-10.scen,1000
empty-48-48-even-24.scen,1150
empty-8-8-even-22.scen,30
lt_gallowstemplar_n-random-17.scen,710
empty-32-32-random-10.scen,510
maze-32-32-2-random-5.scen,140
random-32-32-20-even-19.scen,110
empty-8-8-random-19.scen,30
warehouse-10-20-10-2-1-random-19.scen,1000
ht_chantry-even-3.scen,450
empty-48-48-even-12.scen,1150
Berlin_1_256-random-17.scen,1000
empty-48-48-random-1.scen,990
random-64-64-10-even-16.scen,200
random-32-32-20-even-21.scen,100
maze-32-32-4-random-9.scen,280
maze-128-128-2-even-16.scen,310
Berlin_1_256-random-23.scen,990
random-64-64-10-even-2.scen,200
lak303d-random-12.scen,910
maze-32-32-2-even-10.scen,160
den520d-random-12.scen,1000
warehouse-10-20-10-2-1-even-8.scen,430
random-32-32-10-random-4.scen,460
warehouse-20-40-10-2-2-even-11.scen,990
warehouse-20-40-10-2-1-even-13.scen,900
warehouse-10-20-10-2-1-random-18.scen,1000
room-64-64-16-random-16.scen,660
maze-128-128-10-random-8.scen,1000
random-64-64-10-even-6.scen,200
Boston_0_256-random-20.scen,990
warehouse-10-20-10-2-2-random-8.scen,990
room-64-64-16-even-8.scen,380
empty-8-8-even-11.scen,30
random-64-64-10-random-12.scen,1000
maze-32-32-4-random-22.scen,270
maze-128-128-2-random-20.scen,270
maze-128-128-1-even-18.scen,80
den520d-random-17.scen,1000
Paris_1_256-even-8.scen,1040
ost003d-random-16.scen,990
maze-128-128-2-random-6.scen,270
lt_gallowstemplar_n-even-9.scen,610
empty-8-8-random-21.scen,30
lak303d-even-14.scen,730
warehouse-10-20-10-2-2-even-19.scen,470
ht_mansion_n-even-9.scen,580
ht_mansion_n-even-13.scen,540
maze-128-128-2-even-3.scen,230
room-64-64-8-even-9.scen,320
room-64-64-16-random-22.scen,590
lt_gallowstemplar_n-even-22.scen,620
ht_chantry-even-10.scen,460
maze-128-128-10-even-19.scen,910
warehouse-20-40-10-2-1-random-18.scen,1000
ost003d-random-25.scen,1000
empty-16-16-random-6.scen,120
warehouse-20-40-10-2-1-even-6.scen,880
ht_mansion_n-even-21.scen,560
maze-128-128-2-random-10.scen,260
Berlin_1_256-even-24.scen,1000
random-64-64-10-even-3.scen,220
den312d-even-20.scen,280
Boston_0_256-random-16.scen,1000
maze-32-32-2-random-10.scen,180
empty-48-48-even-20.scen,1000
maze-32-32-2-random-20.scen,160
warehouse-20-40-10-2-2-random-11.scen,1000
room-64-64-16-even-14.scen,340
ht_chantry-random-21.scen,990
warehouse-20-40-10-2-2-random-22.scen,1000
ht_chantry-even-18.scen,460
warehouse-20-40-10-2-2-even-9.scen,990
ht_mansion_n-even-6.scen,500
ht_chantry-even-24.scen,460
maze-128-128-1-random-23.scen,120
maze-128-128-10-random-1.scen,1000
ht_chantry-even-16.scen,450
random-32-32-10-even-18.scen,110
random-64-64-20-even-13.scen,240
ht_mansion_n-random-20.scen,1000
empty-16-16-even-19.scen,120
room-32-32-4-even-15.scen,120
random-32-32-10-even-22.scen,110
ht_chantry-random-23.scen,990
lt_gallowstemplar_n-random-13.scen,680
random-32-32-20-even-9.scen,90
empty-8-8-random-13.scen,30
room-32-32-4-random-16.scen,330
ht_chantry-random-18.scen,990
warehouse-10-20-10-2-1-even-16.scen,450
maze-32-32-2-even-3.scen,160
Berlin_1_256-even-20.scen,990
empty-16-16-random-4.scen,120
warehouse-10-20-10-2-1-random-15.scen,990
empty-16-16-random-25.scen,120
ht_chantry-random-15.scen,1000
Boston_0_256-random-12.scen,990
ht_mansion_n-random-8.scen,900
lt_gallowstemplar_n-random-21.scen,1000
room-64-64-16-random-11.scen,580
den312d-even-24.scen,260
warehouse-10-20-10-2-1-random-2.scen,990
room-64-64-8-even-21.scen,300
maze-128-128-2-random-7.scen,230
Berlin_1_256-even-8.scen,970
empty-48-48-random-25.scen,1000
room-64-64-16-even-15.scen,390
random-64-64-20-random-10.scen,990
room-32-32-4-random-7.scen,320
lak303d-random-11.scen,990
den520d-random-2.scen,1000
Boston_0_256-random-17.scen,990
maze-128-128-10-even-3.scen,1000
empty-16-16-even-2.scen,120
room-64-64-8-even-14.scen,320
empty-32-32-random-25.scen,510
maze-32-32-4-random-23.scen,280
room-64-64-16-random-20.scen,470
Berlin_1_256-random-18.scen,990
Boston_0_256-random-15.scen,990
random-32-32-20-even-24.scen,110
random-32-32-10-random-10.scen,460
ht_chantry-even-15.scen,440
warehouse-20-40-10-2-2-even-15.scen,970
empty-48-48-random-6.scen,990
random-64-64-20-random-5.scen,1000
random-64-64-20-random-4.scen,990
den312d-even-3.scen,280
maze-32-32-4-random-17.scen,280
warehouse-20-40-10-2-1-even-23.scen,910
room-64-64-16-random-10.scen,580
Boston_0_256-even-3.scen,960
random-64-64-10-random-22.scen,990
room-32-32-4-random-24.scen,320
Paris_1_256-even-15.scen,1000
ht_chantry-random-7.scen,1000
empty-16-16-even-14.scen,120
ht_mansion_n-even-3.scen,560
empty-32-32-random-11.scen,510
warehouse-20-40-10-2-1-random-1.scen,990
lt_gallowstemplar_n-even-1.scen,620
room-64-64-16-random-13.scen,730
empty-32-32-random-7.scen,510
warehouse-10-20-10-2-2-random-3.scen,990
den520d-random-16.scen,1000
room-32-32-4-random-11.scen,320
lt_gallowstemplar_n-random-6.scen,1000
random-32-32-10-random-14.scen,460
den312d-random-20.scen,840
lt_gallowstemplar_n-random-20.scen,1000
den312d-random-9.scen,630
Boston_0_256-even-5.scen,930
empty-16-16-even-4.scen,120
den312d-random-1.scen,850
warehouse-10-20-10-2-2-even-21.scen,480
maze-128-128-1-even-15.scen,120
Berlin_1_256-random-1.scen,990
empty-32-32-even-24.scen,510
random-32-32-10-even-16.scen,110
empty-32-32-even-4.scen,510
empty-32-32-even-1.scen,510
den520d-even-7.scen,880
random-32-32-10-random-1.scen,460
maze-128-128-1-random-2.scen,130
empty-48-48-even-2.scen,1000
empty-32-32-random-19.scen,510
maze-32-32-2-random-6.scen,160
warehouse-20-40-10-2-1-even-16.scen,930
ht_chantry-random-6.scen,1000
ost003d-even-14.scen,820
warehouse-10-20-10-2-1-random-20.scen,1000
maze-128-128-10-even-2.scen,1000
den312d-random-13.scen,640
random-32-32-20-even-10.scen,100
empty-48-48-even-19.scen,1000
empty-8-8-random-7.scen,30
empty-32-32-random-6.scen,510
empty-32-32-random-8.scen,510
random-64-64-10-random-21.scen,1000
random-64-64-20-random-12.scen,990
random-64-64-10-random-13.scen,990
warehouse-10-20-10-2-1-even-21.scen,460
maze-128-128-2-random-4.scen,250
Paris_1_256-random-23.scen,1000
random-64-64-10-random-20.scen,990
room-64-64-8-even-4.scen,300
ht_chantry-random-1.scen,1000
ht_mansion_n-even-18.scen,540
ht_mansion_n-random-15.scen,990
warehouse-10-20-10-2-2-even-20.scen,480
random-32-32-10-even-7.scen,90
empty-32-32-even-11.scen,510
ost003d-random-14.scen,990
empty-16-16-random-13.scen,120
Paris_1_256-random-25.scen,990
maze-32-32-2-even-5.scen,180
maze-128-128-10-random-24.scen,990
warehouse-20-40-10-2-1-even-17.scen,900
maze-128-128-1-even-11.scen,140
random-32-32-20-even-13.scen,100
maze-128-128-10-random-11.scen,1000
Boston_0_256-even-23.scen,960
Paris_1_256-random-21.scen,1000
Berlin_1_256-even-22.scen,970
room-64-64-16-even-10.scen,410
maze-128-128-10-random-19.scen,990
empty-48-48-random-21.scen,990
ost003d-even-17.scen,830
Paris_1_256-even-1.scen,1000
maze-128-128-2-even-20.scen,130
den312d-random-8.scen,580
Boston_0_256-even-16.scen,950
maze-128-128-2-even-19.scen,280
empty-16-16-even-23.scen,120
maze-32-32-2-random-24.scen,160
warehouse-10-20-10-2-1-random-22.scen,1000
den312d-even-25.scen,280
random-32-32-10-random-13.scen,460
den312d-even-23.scen,260
ht_mansion_n-random-18.scen,1000
maze-128-128-1-random-6.scen,110
Paris_1_256-random-1.scen,1000
ost003d-random-24.scen,1000
random-64-64-20-random-6.scen,1000
maze-128-128-1-random-17.scen,90
room-64-64-8-even-18.scen,300
random-32-32-20-even-17.scen,100
maze-32-32-2-random-21.scen,160
empty-32-32-random-15.scen,510
ht_chantry-random-24.scen,990
empty-8-8-random-17.scen,30
den312d-random-17.scen,740
Boston_0_256-random-5.scen,990
maze-128-128-2-random-14.scen,240
Berlin_1_256-even-18.scen,930
maze-32-32-2-random-9.scen,160
maze-128-128-2-random-11.scen,270
maze-128-128-1-random-1.scen,110
room-32-32-4-even-6.scen,110
warehouse-10-20-10-2-2-even-5.scen,470
maze-32-32-2-even-23.scen,160
Berlin_1_256-even-7.scen,980
maze-32-32-2-even-6.scen,150
Boston_0_256-even-20.scen,950
warehouse-10-20-10-2-2-even-22.scen,490
ht_mansion_n-even-16.scen,560
ht_mansion_n-random-10.scen,1000
warehouse-10-20-10-2-1-random-11.scen,1000
random-64-64-10-even-19.scen,190
empty-32-32-even-20.scen,510
Boston_0_256-random-23.scen,1000
maze-32-32-4-even-18.scen,120
maze-128-128-10-even-23.scen,1130
warehouse-20-40-10-2-1-even-11.scen,910
ht_mansion_n-random-1.scen,900
lt_gallowstemplar_n-random-10.scen,800
maze-32-32-2-even-11.scen,160
room-32-32-4-random-8.scen,340
warehouse-10-20-10-2-1-random-10.scen,1000
empty-16-16-random-22.scen,120
random-32-32-20-even-3.scen,90
maze-128-128-10-random-4.scen,1000
ht_mansion_n-even-5.scen,520
maze-32-32-4-random-18.scen,260
empty-8-8-even-5.scen,30
maze-128-128-1-even-21.scen,120
warehouse-20-40-10-2-2-even-5.scen,1000
Berlin_1_256-even-1.scen,950
random-64-64-20-even-4.scen,210
ht_mansion_n-random-14.scen,1000
maze-128-128-10-even-18.scen,900
warehouse-20-40-10-2-1-even-25.scen,920
maze-32-32-4-even-7.scen,200
warehouse-20-40-10-2-2-even-4.scen,1000
warehouse-20-40-10-2-1-random-14.scen,1000
room-64-64-16-random-2.scen,620
warehouse-10-20-10-2-2-even-8.scen,500
den312d-random-14.scen,780
maze-32-32-2-random-13.scen,180
room-32-32-4-random-2.scen,330
warehouse-10-20-10-2-1-even-18.scen,450
ht_mansion_n-even-10.scen,580
random-32-32-20-random-4.scen,400
den520d-even-24.scen,870
maze-32-32-4-even-22.scen,190
ht_chantry-random-14.scen,1000
warehouse-10-20-10-2-2-even-6.scen,480
random-32-32-20-even-7.scen,100
room-64-64-16-random-6.scen,680
warehouse-20-40-10-2-1-even-4.scen,910
empty-48-48-even-25.scen,1000
empty-48-48-even-22.scen,1000
random-32-32-10-random-12.scen,460
ht_mansion_n-random-12.scen,1000
warehouse-20-40-10-2-2-even-25.scen,1000
Berlin_1_256-even-17.scen,950
maze-128-128-2-even-11.scen,270
den312d-even-14.scen,280
random-64-64-20-random-14.scen,990
empty-32-32-even-6.scen,510
Paris_1_256-even-18.scen,1000
Berlin_1_256-even-15.scen,1000
ht_chantry-even-8.scen,440
warehouse-10-20-10-2-1-random-23.scen,990
random-64-64-10-even-10.scen,210
empty-16-16-even-13.scen,120
den520d-even-21.scen,870
random-32-32-20-random-16.scen,400
lak303d-random-4.scen,870
empty-8-8-random-23.scen,30
ht_chantry-even-17.scen,480
random-64-64-20-random-11.scen,1000
lt_gallowstemplar_n-random-25.scen,930
room-32-32-4-even-10.scen,120
Paris_1_256-even-11.scen,980
lt_gallowstemplar_n-random-4.scen,730
empty-8-8-even-2.scen,30
lt_gallowstemplar_n-random-18.scen,990
warehouse-10-20-10-2-2-random-10.scen,990
maze-128-128-2-even-17.scen,270
den312d-random-5.scen,780
ost003d-even-9.scen,790
empty-8-8-even-4.scen,30
random-64-64-20-even-14.scen,210
lt_gallowstemplar_n-random-2.scen,880
Boston_0_256-random-1.scen,1000
room-64-64-8-even-20.scen,300
warehouse-10-20-10-2-2-even-10.scen,490
warehouse-10-20-10-2-1-random-7.scen,1000
empty-8-8-random-15.scen,30
warehouse-10-20-10-2-1-even-13.scen,430
ht_mansion_n-random-5.scen,990
warehouse-20-40-10-2-1-even-19.scen,900
warehouse-10-20-10-2-1-random-13.scen,1000
random-64-64-10-random-7.scen,1000
maze-32-32-4-even-11.scen,120
ht_mansion_n-random-3.scen,990
maze-32-32-4-random-14.scen,270
warehouse-20-40-10-2-2-random-1.scen,1000
empty-32-32-even-5.scen,510
maze-128-128-2-even-8.scen,240
maze-128-128-1-random-16.scen,130
warehouse-20-40-10-2-2-random-21.scen,1000
lt_gallowstemplar_n-random-24.scen,990
random-64-64-20-random-25.scen,1000
maze-128-128-1-random-19.scen,130
lak303d-even-11.scen,830
empty-32-32-random-5.scen,510
ost003d-random-19.scen,990
empty-48-48-even-3.scen,1000
den520d-random-25.scen,1000
den312d-even-7.scen,270
warehouse-20-40-10-2-2-even-2.scen,1000
warehouse-20-40-10-2-2-even-12.scen,1000
ost003d-random-8.scen,1000
empty-48-48-even-17.scen,1000
ht_chantry-random-3.scen,990
random-64-64-10-random-16.scen,990
empty-48-48-even-18.scen,1000
Berlin_1_256-random-9.scen,990
Berlin_1_256-even-25.scen,970
Berlin_1_256-random-12.scen,990
ost003d-even-5.scen,830
warehouse-20-40-10-2-2-even-7.scen,990
den312d-random-11.scen,850
random-64-64-20-even-11.scen,240
room-32-32-4-random-15.scen,300
den520d-even-10.scen,870
random-32-32-20-random-7.scen,380
den520d-random-11.scen,1000
room-64-64-8-random-19.scen,600
room-32-32-4-even-2.scen,130
room-32-32-4-random-4.scen,240
warehouse-10-20-10-2-2-even-13.scen,490
random-32-32-10-even-12.scen,110
maze-128-128-10-even-15.scen,1050
ost003d-even-3.scen,820
random-64-64-10-random-8.scen,990
lt_gallowstemplar_n-random-16.scen,950
random-32-32-10-random-24.scen,460
room-32-32-4-even-14.scen,130
warehouse-10-20-10-2-1-even-6.scen,430
maze-32-32-2-even-9.scen,160
ht_chantry-even-6.scen,440
warehouse-20-40-10-2-1-even-24.scen,920
maze-32-32-2-random-25.scen,160
ht_mansion_n-even-20.scen,560
maze-32-32-2-random-7.scen,200
ht_chantry-random-5.scen,1000
random-64-64-10-even-21.scen,190
warehouse-20-40-10-2-1-even-20.scen,920
Berlin_1_256-even-9.scen,970
ht_chantry-even-2.scen,460
random-64-64-20-random-22.scen,1000
den520d-random-15.scen,1000
maze-32-32-2-random-12.scen,160
room-64-64-8-random-5.scen,570
lt_gallowstemplar_n-even-19.scen,550
room-64-64-16-random-12.scen,590
Berlin_1_256-even-5.scen,950
empty-16-16-even-1.scen,120
maze-128-128-2-random-8.scen,240
maze-128-128-1-even-3.scen,120
random-64-64-20-even-16.scen,210
random-32-32-20-random-21.scen,400
ht_mansion_n-random-17.scen,990
empty-32-32-even-3.scen,510
warehouse-10-20-10-2-2-random-23.scen,1000
maze-128-128-1-even-7.scen,100
warehouse-10-20-10-2-1-random-17.scen,990
lak303d-random-22.scen,680
den520d-even-19.scen,880
room-64-64-16-even-18.scen,400
maze-32-32-4-random-11.scen,270
warehouse-20-40-10-2-2-even-8.scen,980
den312d-random-23.scen,840
empty-8-8-random-4.scen,30
warehouse-10-20-10-2-1-even-10.scen,450
warehouse-10-20-10-2-2-even-3.scen,480
lt_gallowstemplar_n-even-5.scen,600
empty-16-16-even-18.scen,120
maze-32-32-2-random-2.scen,160
warehouse-20-40-10-2-1-random-15.scen,1000
warehouse-20-40-10-2-1-even-9.scen,930
empty-16-16-random-16.scen,120
random-32-32-20-random-2.scen,400
ost003d-random-3.scen,990
random-64-64-10-even-24.scen,200
room-64-64-16-random-4.scen,590
Boston_0_256-even-12.scen,950
ht_chantry-random-22.scen,1000
random-32-32-10-even-8.scen,90
room-32-32-4-even-3.scen,130
warehouse-20-40-10-2-2-random-12.scen,990
random-32-32-20-even-2.scen,100
empty-48-48-random-14.scen,1000
warehouse-10-20-10-2-1-even-11.scen,450
ht_mansion_n-random-9.scen,1000
empty-16-16-random-17.scen,120
empty-16-16-even-11.scen,120
Berlin_1_256-even-6.scen,980
lak303d-random-18.scen,1000
random-32-32-20-random-5.scen,390
warehouse-10-20-10-2-1-random-6.scen,990
maze-128-128-1-random-15.scen,110
warehouse-10-20-10-2-2-random-25.scen,1000
room-64-64-8-even-13.scen,300
warehouse-10-20-10-2-1-even-3.scen,430
room-32-32-4-random-6.scen,320
warehouse-10-20-10-2-2-even-15.scen,490
random-32-32-20-even-8.scen,100
warehouse-20-40-10-2-1-even-14.scen,920
Berlin_1_256-random-16.scen,1000
warehouse-10-20-10-2-1-even-4.scen,440
ht_chantry-even-19.scen,480
empty-48-48-even-9.scen,1000
random-64-64-10-even-17.scen,190
maze-32-32-4-random-21.scen,210
empty-48-48-random-18.scen,1000
warehouse-10-20-10-2-2-even-16.scen,480
warehouse-10-20-10-2-2-even-1.scen,480
random-32-32-10-random-16.scen,460
lak303d-even-25.scen,730
ost003d-even-16.scen,830
maze-128-128-1-even-4.scen,140
ht_mansion_n-even-11.scen,550
maze-128-128-10-even-14.scen,1000
empty-48-48-random-2.scen,990
maze-32-32-2-random-17.scen,160
warehouse-20-40-10-2-2-random-19.scen,1000
empty-16-16-random-5.scen,120
maze-32-32-4-even-14.scen,180
maze-128-128-10-random-25.scen,990
ht_mansion_n-even-15.scen,580
den520d-even-15.scen,830
empty-48-48-random-10.scen,990
Paris_1_256-even-12.scen,960
maze-32-32-4-even-16.scen,140
empty-16-16-random-15.scen,120
room-32-32-4-random-23.scen,320
maze-128-128-1-even-24.scen,80
den520d-even-1.scen,860
room-64-64-8-random-24.scen,590
warehouse-10-20-10-2-2-random-22.scen,1000
random-32-32-20-random-18.scen,390
random-32-32-10-even-1.scen,90
random-32-32-20-even-20.scen,110
warehouse-10-20-10-2-2-random-13.scen,990
den520d-even-17.scen,890
Berlin_1_256-even-16.scen,960
empty-32-32-even-19.scen,510
empty-8-8-random-2.scen,30
warehouse-20-40-10-2-1-even-12.scen,910
room-64-64-16-even-24.scen,390
maze-32-32-2-random-23.scen,170
maze-128-128-1-even-9.scen,130
ht_mansion_n-random-19.scen,940
Paris_1_256-random-18.scen,1000
random-64-64-10-even-14.scen,210
random-64-64-20-even-24.scen,230
ht_mansion_n-random-13.scen,960
Paris_1_256-even-25.scen,1030
Paris_1_256-even-20.scen,1000
Berlin_1_256-even-12.scen,960
ht_chantry-random-2.scen,1000
empty-32-32-random-2.scen,510
maze-32-32-4-random-10.scen,290
empty-8-8-random-16.scen,30
Berlin_1_256-random-11.scen,1000
empty-48-48-even-21.scen,1000
warehouse-20-40-10-2-2-random-24.scen,990
warehouse-10-20-10-2-1-even-9.scen,470
empty-16-16-random-7.scen,120
random-32-32-10-random-3.scen,460
random-32-32-20-even-25.scen,100
den312d-random-25.scen,850
empty-16-16-random-1.scen,120
ost003d-random-11.scen,1000
maze-128-128-1-random-8.scen,110
random-64-64-10-even-20.scen,210
maze-32-32-4-random-1.scen,140
room-64-64-8-random-23.scen,580
maze-128-128-1-random-20.scen,120
random-64-64-20-even-2.scen,220
lak303d-random-9.scen,960
empty-16-16-even-3.scen,120
empty-32-32-even-8.scen,510
empty-8-8-random-1.scen,30
empty-32-32-random-4.scen,510
